text,label,pred_correct_at_words
bag qaf look cryin jacynth lookin good feelin gorgeou rupaul skin scissor sister valentin sun fed kayl daddi gerl awak unkind u,joy,9.0
feel know basic like fake realm scienc fiction,sadness,5.0
hate live dad roof give excus asshol he provid live think feel need make feel unwelcom possibl ill leav,sadness,16.0
keep feel pleasantli surpris support also eas new situat,surprise,
feel anymor vigor sexual activ come ye misspelt cum day part begin fall,joy,1.0
feel mom grace warm love smile rob time nurtur heal,joy,1.0
feel talk brother law extrem popular one think stiff,joy,1.0
ate could feel gentl tingl throughout almost feel heal take place cellular level,love,4.0
feel like pressur young beauti thin depend trend girl rejuven butt implant,fear,3.0
began sever time week feel tortur hallucin move peopl figur sound vibrat,fear,8.0
nearli finish week detox feel amaz,surprise,6.0
feel selfish read back former post never ask prayer other never consid may other deserv prayer answer,anger,2.0
know pain parent feel enrag child becom violent,anger,3.0
roller coaster emot suppos feel someth unpleas come,sadness,3.0
suppos truth need share havent feel faith late ive dwell doubt uncertainti faith,love,10.0
feel brave bought clearli makeup,joy,1.0
feel miser c also proudest mum earth,sadness,2.0
figur famili love us matter around anyon els feel embarrass michel goe ballist,sadness,10.0
necessarili think f bomb sex necessari stori feel reassur see print journal,joy,1.0
feel ovari ach talk like put,sadness,3.0
feel like much chri mostli took mani pictur unimport stuff,sadness,9.0
im tire book readi find given unsuit imag feel blame result sit well,sadness,2.0
success manag stretch mxm canva feel achiev worthwhil usag money time use canva futur brief,joy,1.0
think feel one nay import thing,joy,1.0
feel complet honor influenc young talent fulli aliv beauti girl woman,joy,1.0
feel anger firey,anger,2.0
feel like miser piec garbag,sadness,3.0
feel like need make list leann would appal thought dont miss anyth,anger,8.0
drove dannika school feel littl bit rush greet turn corner,anger,3.0
rememb feel hellip furiou shooter,anger,2.0
feel happi excit sinc learn mani thing,joy,1.0
feel show around show hors peopl trust relax show hors safe quiet handl frequent,joy,1.0
coupl thing left make start decemb done feel smug,joy,8.0
think u could make feel realiz everyth ok,joy,1.0
feel worthless time struggl find work,sadness,2.0
abl lay bed dark feel terrifi least,fear,6.0
readi meet mom airport feel ever support arm around,love,4.0
im feel bitter today mood strang entir day guess,anger,1.0
mum brother pass away involv car accid bring present pass form five exam fli colour,sadness,1.0
let go animos toward anyon feel wrong,anger,7.0
talk dog feel cannot understand word read emot know support decid go home,love,13.0
feel like throw away shitti piec shit paper,sadness,5.0
im start feel wryli amus banal comedi error life turn,joy,
find everi bodi beauti want peopl feel vital bodi,joy,8.0
hear owner feel victim associ associ attorney properti manag,sadness,1.0
say goodby fam theyr sad cri feel like heartless bitch hey im pretti excit fli first time know also spend year anoth countri,anger,1.0
wont let child cri feel love lili littl go opportun last short month,love,6.0
alba feel good im fit,joy,2.0
feel excit im feel like ton catch,joy,1.0
also know good feel look back see honor word help start,joy,1.0
mean realli realli hard work obtain high technic skill wushu feel kinda asham somehow motiv saw kid wushu perform whole heartedli despit tired,sadness,1.0
feel like thing get littl overwhelm spritz toner realli help calm sooth,joy,1.0
hope realiz littl effort requir make person feel better situat whether famili member colleg high school friend neighbor street even complet stranger,joy,5.0
feel festiv today even go put tree soon finish catch week go on coron street,joy,1.0
find ill serious,joy,3.0
alright class combin feel unsuccess man handl stress late horribl week result almost cri finish grappl,sadness,1.0
feel rare advanc worthwhil caus alway stick rule post anyth onlin wouldnt prepar say somebodi face,joy,1.0
feel use,joy,1.0
feel like pain cannot imagin becom passion group idea caus pain,love,7.0
feel ugli inclin wear ratti jean sweatshirt beauti dress though might still wear pair heel around hous boost self esteem ever slightli definit bother buy new pair,sadness,2.0
im feel homesick yet im feel alright,sadness,3.0
danc feel pretti,joy,1.0
workout everi morn feel fabul,joy,4.0
feel eye touch word eye know assuredli return love know shall vain,sadness,12.0
feel fabul friday morn start get aw cramp work,joy,1.0
feel honour abl call friend share brotherhood,joy,1.0
begun feel apprehens thick black rain cloud storm sky town,fear,
state reason feel fear feel unsaf,fear,4.0
feel like get shaken tsa quit yet pull side creativ croissant lunch,fear,4.0
get group feel realli awkward overcompens talk get realli quiet,sadness,5.0
excit final meet companion companion time especi lone lone companion never disappoint companion put arm around make feel love,love,4.0
feel pretti safe blog img src http,joy,1.0
feel pretti eager get done fun plan quilt,joy,1.0
feel horni ask let go home,love,2.0
think poem put pressur feel uncomfort sens feel feel understand understand love abl love,fear,4.0
feel stranger strang land rais son place father ancestr home,surprise,6.0
left shower question feel gorgeou fantast bodi confid movement effortlessli grace,joy,5.0
feel energet bounci happi go gym run around outsid kid take pram long walk often three one day,joy,1.0
still feel strong,joy,2.0
burst tear devast releas feel thought seem know rich also go space without dump,joy,2.0
want get pumpkin spice latt morn hot last thing want hot coffe mayb feel littl bitter,anger,10.0
suppos feel badli bit skeptic pain last month she hyperchondria exagger habit past though never openli question,fear,3.0
clench corner bed feel assur,joy,5.0
also feel like selfish grate life amaz thing,anger,4.0
call god seen god book figur god right name feel utterli affirm accept without question,love,10.0
know perhap girl offic nice short hair perhap feel rebelli,anger,10.0
feel miser famili type celebr eid,sadness,2.0
might go get car wash feel realli gener car need,joy,1.0
still feel sleep depriv almost sleep night give us,sadness,3.0
feel realli violent right,anger,3.0
bloge sit feel content dog amp cat etc know lucki truth,joy,3.0
start feel funni friday woke sick dog,surprise,3.0
feel need protect parent witch hunt repress memori therapi,sadness,
feel disgust even associ woman race nation,anger,2.0
laugh bitterli wasnt feel bitter,anger,5.0
know feel thought wish could us us knew howev much hate first experi would rememb forev,sadness,1.0
feel quit mellow want soft easi look wear begin cold,joy,1.0
told mayb need time think ive feel indecis thing late,fear,
still feel genr disservic stori resolv artif,joy,2.0
alway know feel artist write name artist mood manitz draw circl dot bigger dot artist feel line like accent mark spanish im piss,joy,3.0
rememb feel realli terrifi brazil bu go steep mountain hill side mountain middl big storm wonder go fall,fear,4.0
could feel whimper thought unlov uncar,sadness,5.0
im certainli go sit tell what go person life feel ever curiou what go life youd watch show,surprise,12.0
im sorri wasnt humor post im feel funni,surprise,8.0
feel ive got foot door fantast world walk run trail fell mountain,joy,1.0
say whatev come mind tell directli feel jealou girl insecur love person trust worthi friend sweet one love,anger,1.0
feel strang come back work one day holiday,fear,2.0
im clearli influenc dash happi emili dickinson exampl use dash instead colon semi colon enhanc feel rush enjamb sonnet,anger,1.0
fatter thing life remain control whether get eat peanut butter bread get home imposs day first world look yet third world feel hell needi neglect littl girl,sadness,3.0
could claim redeem genr leav feel entir frustrat point beat head wall either,anger,1.0
feel sad hopeless,sadness,2.0
im get feel class littl intimid concept lit,fear,6.0
still feel groggi get routin son,sadness,3.0
feel view isnt go popular that fine,joy,1.0
want hold feel shock awe wonder forev,surprise,4.0
heard rumour st year exam result fear might one failur,fear,3.0
want feel valu appreci know peopl love arent go anywher even natur relationship chang,joy,1.0
know day feel distract,anger,4.0
use regularli relax music alway feel invigor afterward,joy,1.0
im feel distract tend practic eye shut much possibl,anger,1.0
feel like perfect w see youtub influenc even know trend,joy,1.0
specif want tango feel shi mak quit opposit hard get far enough away get good pic lol,fear,2.0
also feel weird sleep bed two slept,fear,7.0
wish okay think earlier today here thing coop amp restless made feel needi,sadness,2.0
ive lost weight could fit tini skirt ive unabl wear didnt feel confid,joy,5.0
hope feel bit creativ soon miss presenc life blog,joy,2.0
fan current presid conserv made feel unwelcom,sadness,4.0
enclos vers could weigh much think feel curiou hear odd coupl,surprise,8.0
begin feel complac life,joy,1.0
feel vulner alon,fear,2.0
rememb feel inspir think fine exampl parent,joy,1.0
feel like alway one get punish stupid thing feel like chastis behav,sadness,3.0
realli feel life perfect right isnt much ask hope everyth would stay,joy,3.0
im simpli feel content,joy,2.0
im say cut everyon life feel import find comfort solitud medit work project alon,joy,3.0
think im stupid feel nervou,fear,5.0
feel honor,joy,1.0
feel act god work life amaz feel,surprise,6.0
feel im like bird fli air carefre manner,joy,1.0
revis repli mind make sure repli sound appropri enough person receiv repli feel offend,anger,1.0
felt sad friend mine die felt someth irrevoc gone away,sadness,4.0
die would alex matt feel regret come visit,sadness,1.0
feel educ famili support educationg mama papa key,joy,1.0
im sure lost feel like everyon hostil toward hate feel,anger,1.0
feel like bore sew make sinc easi noth els say fabric usag,sadness,3.0
alway like use origin fragranc freshen lightli scent underwear drawer feel gorgeous glamor girli,joy,3.0
feel like talent young man feel talent work,joy,1.0
feel curiou thing around,surprise,2.0
feel reason apart other live im help becom someth push succeed success happi,joy,1.0
feel uncomfort guess,fear,2.0
feel pretti mellow far whatev heal wound process may get underway,joy,1.0
wonder sometim whether ad antagon misunderstand mani peopl toward us feel reluct wholeheartedli support tradit armistic day remembr,fear,12.0
leg would feel shitti mile would come around like alway,sadness,4.0
know unfair reaction run way explain feel shaken best come right,fear,8.0
serious feel bless support home amaz,love,4.0
feel abus malign mostli tire nervou feel anticip danger,sadness,
feel pretti restless right type,fear,3.0
know gosman touristi place go montauk area infrequ visitor area want head harbor feel gentl caw seagul lap water wood pile relax breez come water,love,15.0
admit hilari e card serious exactli feel stress feel moment could start hy,sadness,1.0
wrote last year feel dull inarticul normal,sadness,5.0
id kick gear feel irrit motiv ever,anger,2.0
feel child innoc feel illustr,joy,1.0
satisfact feel longer support contribut looter driven consumer made walk corps america rever younger,love,4.0
start feel resent,anger,3.0
spend vacat oblig headach feel like emot blackmail three place,sadness,7.0
feel herp come would surpris point make checkup clinic wednesday,surprise,
feel fuck like everyday life,anger,2.0
ive work realli hard year tri make child class feel like valu,joy,4.0
feel dishearten word late,sadness,2.0
feel like bitchi time upon retrospect think tri shake,anger,3.0
still second guess still terribl time make definit decis certain truth know feel assur truth,joy,11.0
feel like egg benedict someth equal delici,joy,1.0
im feel way trust,joy,2.0
im feel inspir summeri element favorit past time beach bummin,joy,2.0
feel smile love even gorgeou,joy,1.0
continu defin discov home mean amsterdam whenev feel pang blank sick line miss cultur mindset american citi life much differ cultur mindset amsterdam,sadness,10.0
make arcad simpl purpos tri make feel absolut comfort physic emot practic absolut,joy,1.0
say feel sympathet,love,3.0
feel eager hop tube ride eye london,joy,1.0
go onlin see friend talk anoth one talk feel ignor feel unlov,sadness,4.0
monitor say anyth ever come across blog feel offend pleas dont stop,anger,1.0
feel like weird cancer one time,surprise,6.0
want feel safe well mayb mayb there small chanc feel joy dream come true,joy,1.0
im feel cranki,anger,1.0
also think puzzl particular administr singl prais abil get student read feel ssr time product use class time,joy,1.0
tri fill befriend peopl knew use didnt care need feel accept even complet loser,love,14.0
feel stress alway,sadness,3.0
rememb feel anoth cramp also ignor,sadness,3.0
hope feel mellow well fed well slept peac within extern world,joy,2.0
also learn take lot effort posit think break tear feel exhaust guilti better mom,sadness,3.0
im feel aw hung friend new babi day,sadness,3.0
feel relax fine,joy,1.0
feel suffer realli feel pain,sadness,2.0
go sleep feel give preciou time someth els life,joy,1.0
feel like neglect belov mom blog,joy,1.0
shalt say co din feel thing wrote hw keen xxx,joy,6.0
feel terrifi like im edg precipic stare ahead,fear,2.0
feel total listless exam come gone whole five month front uni free time,sadness,3.0
feel furiou right life advoc tell live die lobbi support politician sympath view,anger,2.0
feel abus way,sadness,3.0
im still pay attent feel distract,anger,1.0
start third block feel hot cold tingli time know still five hour examin ahead idea would good,love,5.0
im hesit make suggest feel outcom would sincer,joy,8.0
feel terribl fond major precis time,love,3.0
feel gain control damag good aspect person secur,sadness,4.0
bomb first interview left second interview feel pretti fan freak tastic,joy,
think kind taken us long build good inventori sauc oil spice non perish feel like chanc make someth delici without specif go buy everi singl item recip,joy,1.0
feel advis dad whose children soon becom teenag cool pull kid high school pick smelli jalopi plant come window,joy,1.0
feel victim drag countri head sand traditionalist hesit call conserv fear offend real honest god conserv still think world creat year ago stuff like skelet remain kind hoax,sadness,2.0
would feel lucki call materi kit site mine beauti curat,joy,2.0
blood prove reason feel letharg rubbish low iron prescrib iron tablet,sadness,5.0
mind feel like mind danger life,anger,1.0
feel like love everyon least compassion toward other,love,
feel punish neglect,sadness,2.0
feel like doesnt captur beauti love polish,love,3.0
feel like lost main root feel less secur emot financi social,sadness,3.0
feel like bite bullet everi time think feel stress im fulli support decis,sadness,8.0
know obnoxi immatur sound verbal tic voic kind nasal alway come across like sharpest tool shed especi feel awkward know know know,sadness,1.0
id terribl nightmar feel littl disturb,sadness,2.0
didnt want walk pass case custom feel disturb,sadness,8.0
want suffer abl find hope battl help feel alon,sadness,2.0
feel except reluct go school tomorrow even though monday timet pretti good,fear,3.0
festiv feel delici wheeeeee great night,joy,1.0
look forward beaten feel like disappoint husband emot pain,sadness,3.0
im sick feel crappi,sadness,2.0
feel like almost convinc go pattern,joy,1.0
also wear im wear dress make feel slutti feel like antiqu underwear obvious littl bit edgi mayb littl bit littl bit,love,8.0
feel pervers pride self control manag stay order reach tempt human flesh close us,sadness,
feel impati easili annoy outrag blatant defianc seem olivia promin characterist day,anger,2.0
posit giddi kid left morn last offici class year im feel littl sad,sadness,4.0
feel support also cant help feel jealou,love,2.0
mainli like text feel like much clever written word rather spoken,joy,3.0
seriouli feel respect dont privaci order around,joy,2.0
said word devote feel reliev hear titl deen bandhu fallen person becom afraid titl uplift devote consid true devote henc unworthi benefit aspect person,joy,1.0
person feel pain suffer,sadness,3.0
guess would feel like joseph walt trust care mother financ six month die time want defend self god make quiet,joy,3.0
warm start feel littl letharg,sadness,4.0
feel excel sometim there noth especi sinc im realli keen video game anymor watch bit anim movi there got life,joy,1.0
wonder master feel r want eager pleas master could much enjoy attent wrong desir return affect,joy,1.0
im feel littl bit posit thing quit hard first save eaten quickli cost didnt want becom burden boyfriend weve come end im feel brighter inspir thing come,joy,2.0
im feel rather sentiment right say feel lucki max mom,sadness,3.0
make show feel isol crowd ill know wrong anti social feel,sadness,3.0
ive learn turn emot often find feel complet blank mother cri continu suicid,sadness,1.0
feel loyal style,love,2.0
understand may feel youd rather bit vulner homeless london precis way,fear,3.0
final stop feel listless like wast space,sadness,3.0
know im feel agit side effect high dose,fear,3.0
feel shift posit,joy,1.0
feel brave enough,joy,1.0
fear thief,fear,1.0
feel clever nov,joy,1.0
alway spend money mean feel dissatisfi exit store,anger,3.0
im feel realli quit angri,anger,1.0
feel kerri didnt support civil union gay equal,love,4.0
feel realli asham,sadness,3.0
feel amaz peopl life,surprise,2.0
final left feel judg ridicul intellig,joy,6.0
start feel bit insult stranger,anger,4.0
mani day feel hopeless today light end yellow brick road shine littl brighter,sadness,4.0
actual feel sorrow,sadness,3.0
see women wear boot feel enviou want curs,anger,2.0
feel feel tell togeth apolog make keep love bit bit,love,2.0
go say feel impress your naomi klein right,surprise,4.0
began feel sens dull cold black unconsci came,sadness,4.0
suspect feel less fond privat,love,4.0
honour young woman felt comfort enough ask kind faux hawk thing go back must look dykey enough feel safe talk,joy,1.0
wonder cast caveman told perfect part feel insult compliment,anger,8.0
feel convinc plu mani divers price tag feel sure everyon come fund plot light rel econom,joy,1.0
feel empti babi isnt,sadness,2.0
stop feel exhaust href http provokingbeauti,sadness,2.0
im feel font friendli,joy,2.0
hand bead conscious breath conscious work feel calm list thing accomplish afternoon,joy,8.0
alway feel intimid peopl especi alway compar peopl ever sinc young,fear,3.0
made feel rotten,sadness,2.0
start feel hostil check hemorrhoid,anger,3.0
love wear new shoe feel glamour get pair design shoe love box trim come,joy,4.0
know larg fact feel romant sexual success hidden,love,5.0
love feel someth warmli hug feel preciou small preciou someon someth,joy,3.0
im feel far mellow normal,joy,2.0
becam dismay studi peopl wear start feel like though outfit gorgeou bought way,joy,11.0
dont want wax draw anyth need unibrow mayb get rid spare hair creep toward eyelid im feel brave,joy,5.0
im feel lucki width li style border px list style outsid margin px px,joy,2.0
recal high school feel long watch olymp runner feel st,love,5.0
woke feel confid watch bodypump dvd gather coach tip compulsori cue,joy,1.0
didnt say strong feel alway make skeptic first,fear,7.0
want talk limit time phone current arrang feel hesit bring,fear,9.0
begin feel there good chanc might pass,joy,1.0
feel like littl control help sweet pea better know ahead,joy,1.0
feel like receiv end violent attack,anger,5.0
feel worthwhil document peopl familiar batch file,joy,1.0
feel especi thank mani small bless life right,joy,1.0
hope weatherman right forecast stay home dont ventur rain tomorrow feel kind creativ,joy,9.0
feel like im edg microcosm one awkward moment miss parti id outsid,sadness,7.0
feel bit funni actual,surprise,3.0
learnt noth els last two year best feel way trust instinct,joy,5.0
feel also blossom eager anxieti,joy,1.0
feel burden share,sadness,2.0
alway want nemo side sleep without feel weird even though doesnt happen often get,surprise,
im feel outfit heel gorgeou,joy,2.0
feel confus,fear,
feel session use gave tool need move forward life,joy,1.0
feel selfish bring loneli child know parent newtown griev lost babi,anger,2.0
took away disappoint feel pain gave heart heal lord one love never betray never lose loyalti even loyal,love,18.0
feel enviou embarrass,anger,2.0
could feel frantic need need make,fear,3.0
feel overwhelm respons teacher someon trust preciou gift honor,surprise,
feel tranquil right great,joy,1.0
feel frustrat new music new lyric clearli noth,anger,2.0
thought go talk tri work thing shock find steve decid want thing broke feel unlov,sadness,13.0
wouldnt bear wit incred well spoken bouncer make emo kid feel complet unwelcom,sadness,13.0
tend stop breath feel stress,sadness,5.0
smoker year quit week ago right finish book cant believ free feel knew quit terrifi life without cigarett,fear,15.0
go mailbox talk mailman groceri clerk etc matter small step limit risk complet total willing experi whatev thought feel sensat emerg import,joy,1.0
alreadi feel frantic,fear,3.0
feel like insecur good thing first start write pictur,joy,1.0
feel compliment insult,anger,2.0
crave fall submiss feel submiss least,sadness,1.0
feel tender fine,love,2.0
feel irrit piss even like someon wake moment edg fall deep slumber,anger,2.0
made work feel littl groggi,sadness,2.0
want love feel like sort hindranc that keep love,love,2.0
feel fond ok second thought realli sensit spell everyth,love,2.0
ill get round quarter im feel hope one,joy,3.0
im start feel unwelcom life peopl alreadi tell,sadness,4.0
feel absolut fantast hope babi,joy,1.0
watch snow fall accumul conif tree shovel shirt sleev feel vigor,joy,3.0
feel bitter honkerblonk gener,anger,2.0
feel father alreadi convinc,joy,1.0
love feel passion live dream gotten tast feel like noth stop,love,1.0
play rain squeal glee feel mud squish toe enjoy pretti much anyth take place outdoor,joy,1.0
feel humor put cold caller hold,joy,1.0
busi stuff never blog thread make feel miser,sadness,8.0
feel energ curiou life god potenti give someth back societi find someon heart,surprise,3.0
feel privileg also lot work,joy,1.0
im pretti happi littl nauseat side feel thrill,joy,3.0
close eye hear piti wail sound cri tast salti tast tear feel anger hurt satur heart,sadness,6.0
bought virtual fat free thousand island feel impress hold larg quantiti substanc leav lettuc cucumb friend total sugar becom burn fat,surprise,8.0
im sure folk virginia florida hand swing state agre feel put upon insult constant barrag,anger,1.0
feel like im put innoc man death row,joy,1.0
sure els help feel smart,joy,1.0
begin feel everi wake moment devot work,love,6.0
feel thank lesson learn,joy,1.0
feel long sad see famili children,love,2.0
feel distinctli call clermont focu littl one seem naughti,love,9.0
hope feel glad gave mani thing includ memori cherish,joy,2.0
feel pretti worthless right,sadness,3.0
feel project clever use enough figur would start share instruct wrote first one weekend,joy,1.0
continu think along line probabl would done dish anger got wed fight feel complet abus,sadness,
didnt feel especi nervou finland land pari littl unsur would ahead us thought st grade student jann suominen,fear,7.0
feel enviou kid certain moment,anger,2.0
feel like pretti crappi mom,sadness,4.0
im feel piss aac feel kind miser frustrat life whole week,anger,1.0
im scare anymor im fine feel terrif surgeri,joy,7.0
still feel vulner around,fear,3.0
honestli sure feel stun,surprise,4.0
feel care person attract care peopl life,love,2.0
im left feel quit embarrass say noth new,sadness,2.0
feel unwelcom place buti cant decid scare anyth ok situat stay dead end situat afraid thing get wors,sadness,2.0
may may cri thank make children feel special love,joy,1.0
realli want go buy yardag art galleri play feel amaz,surprise,10.0
feel like she lose sens self adapt think loyal,love,4.0
feel burden sever love one miss big kid havent seen sinc friday,sadness,2.0
feel still realli low abdomen,sadness,2.0
feel like welcom tight knit famili make sure feel alon ever,joy,1.0
feel doubt,fear,2.0
usual use smaller lego howev year student fine motor delay want student feel success,joy,6.0
get exercis feel like im someth worthwhil meantim,joy,1.0
feel like life rich fulfil know peopl look way live feel misplac piti,joy,1.0
feel bless amaz ye excit,love,3.0
feel hesit talk,fear,2.0
tri get least minut day five day week though known skip workout feel particularli letharg lazi,sadness,10.0
feel beaten sick utterli devoid hope ever life want,sadness,2.0
feel hesit comment want add pileon seem clear involv learn past experi interest appli learn futur project,fear,2.0
feel quit passion communion tremend import person theolog,love,3.0
im feel happi well,joy,2.0
find much time think without feel depress actual abl write imagin without feel trap like miss someth near constant feel citi,sadness,1.0
got feel brig sincer strong desir help other becom success financi also build strengthen relationship christian,joy,4.0
feel like ive fake feel lot often would like,sadness,4.0
feel energet decid go bike rest templ,joy,1.0
im realli like said understand way feel toni ight blame excess merican dream seldom wit never er seen hah hah hah hah hah,sadness,10.0
happpi get good result field academ athlet,joy,2.0
dont know want work alway someth make feel stress anxiou work whatev job may job requir sort rule pressur,sadness,2.0
id pop chair feel like someth worthwhil,joy,1.0
realli hope theyd get far enough ahead us could feel like navig delight punch second control head onto trail wood,joy,5.0
feel like normal would angri that actual think could never beauti size,anger,5.0
wonder mani peopl feel like perspect think sake without want turn result crappi work,sadness,
feel indecis whether feel book huckleberri finn censor,fear,
known like kamiki kun laugh nozomi feel unpleas knot stomach must think fool nonchan,sadness,5.0
made choic start recogn feel unlov kick choos keep persist level allow old reaction shut,sadness,6.0
feel like im hate celebr cant wait till day say made,anger,4.0
still feel funni write like mayb call spirit guid realli observ cheerlead someth,surprise,3.0
would rather feel noth feel surpris find life depress grey unreward,surprise,
feel comfort decis,joy,1.0
get realli sweati episod stomach feel realli funni like free fall,surprise,8.0
feel overwhelm late,fear,2.0
learnt much wonder world beaubronz feel love tan brand fit perfectli latest mantra stolen boudoir lash mother asma docrat,love,7.0
feel rebelli particularli like watch romcom get feel may pretti good write,anger,2.0
didnt feel welcom first enter morri quickli chang left feel happi,joy,2.0
im contempl feel skeptic,fear,4.0
ive becom anxiou recent time certainli feel amongst peopl belief sieg often disadvantag look consid way differ faith make less worthi regard said,sadness,1.0
feel like care im bit heartless,anger,6.0
hate chemo thought toxin wash everi singl cell make feel horribl make cring,sadness,2.0
feel honour host seri talent,joy,1.0
love feel threaten around littl,fear,3.0
feel read allthingsbuck blog brought tear eye lump throat feel worthwhil thing upset shouldnt write lame blog,joy,1.0
feel determin didnt take long start nom naughti stuff,joy,1.0
feel honor mani wonder artist display work public see,joy,1.0
rememb fulli stress fun feel could live,joy,1.0
feel daze href http twitter,surprise,2.0
feel bitchi hurt,anger,2.0
alway feel like ive assault pic,sadness,1.0
im thank everyth seem work wrap week new job also feel pretti lucki peopl live,joy,2.0
feel incred isol lone,sadness,3.0
feel selfish talk anyon els thyroid want think dramat whini realli hard understand ye someon look fine still feel terribl,anger,2.0
blood test yesterday perhap im feel particularli fond right doctor needl insid time spent dizzi head non meat eat nineteen year old femal,love,8.0
admit worri feel isol work cubicl pretti much unless someon need,sadness,1.0
im feel like life fairli sweet,love,3.0
go clean slate unilater forgiv feel wrong someon love intent careless therebi time forget perceiv insult abus,anger,7.0
feel like year teach get passion job find love kid want tri even harder,love,6.0
im one peopl buri feel anger second give sweet smile even pain anger,love,7.0
knew holi spirit work plu feel divin gooooood way like massag reassur,joy,2.0
feel though ive reach point career im highli respect,joy,1.0
make light sometim feel realli awkward small group one one convers,sadness,6.0
ive lot good day feel fabul lot energi late ive also bad day feel gigant slow clumsi,joy,5.0
also feel like googl hate seo know,sadness,4.0
didnt get wink sleep night continu feel fabul next morn,joy,2.0
feel like feel mistak time fuck sleep take,anger,4.0
love slide nice big throb cock feel gorgeou bodi man,joy,8.0
found novel posit feel bit uncertain stock market ralli,fear,6.0
feel like judg want seem like needi girl know,sadness,7.0
im definit feel festiv,joy,2.0
feel burden presenc,sadness,2.0
still feel littl daze sort disbeliev feel oh god,surprise,4.0
feel super excit week seem fli get closer closer due date,joy,1.0
turn page feel like way get back irresponc year carefre colleg,joy,1.0
favourit choic book dvd us uk im feel gener limit someth like,love,9.0
feel energet aliv happier long time,joy,1.0
feel realli pathet confront,sadness,3.0
feel danger game activ,anger,2.0
feel world class player benzema mould would fantast,joy,1.0
feel terribl burden impend anxieti tri keep eye prize,sadness,2.0
feel could unpleas layer love heal forgiv expect thing turn well,sadness,4.0
im feel gloomi complet noth though im suppos complet mani thing,sadness,3.0
work amount would like feel like lifestyl chang success far,joy,2.0
love porn industri feel satisfi fulfil work say realli bring big buck,joy,5.0
overhear victori tune geek rington feel triumphant,joy,7.0
love children literatur author feel need dumb thing kid,sadness,2.0
soo quiet mixtur sleep well feel bit isol big group,sadness,8.0
feel greedi money hungri absolut,anger,2.0
feel fuck want shut,anger,2.0
feel passion certain topic love back posit actual knowledg fact instead reli sole opinion,joy,1.0
feel like today way suffer exam day open book everytim went home,sadness,3.0
feel surpris make,surprise,
woke morn hike feel jubil,joy,1.0
feel like littl kid whose mom proud touch soccer ball game,joy,1.0
feel miser insid outsid like,sadness,2.0
must find way accept limit older without feel held back resent,anger,7.0
feel incred charm peopl life excit amaz chapter thing,joy,1.0
